	t10	t10	t10	t20	t20	t20	t30	t30	t30	t40	t40	t40	t50	t50	t50	t90	t90	t90
eco_gcs1_t02620	3.691690155	1.682759221	2.543394507	2.417899248	2.573161118	2.579618818	3.270908642	3.122703218	1.79989256	3.727735466	3.534365156	3.658731488	3.175840027	2.94455352	2.304440788	1.804943297	3.159375004	3.724313478
eco_gcs1_t06729	9074.160465	8084.25468	10455.0166	10485.23414	10346.10526	9865.284153	12193.7239	12577.84193	13284.05735	14029.435	15521.49369	14853.55358	13956.31757	13364.14068	13920.3851	609.7950912	1216.818731	781.4219769
eco_gcs1_t02230	7.930369244	9.998435611	9.459337332	7.152049189	7.803777919	11.8656976	6.387386431	6.094850797	5.348849962	10.34730067	4.754761596	7.726419994	7.46659394	7.999143344	9.484333373	13.81502784	14.6339533	13.29881914
eco_gcs1_t00271	1845.226979	657.3708931	488.6269276	1285.201866	541.2575515	289.6352006	1007.821288	484.2541135	294.8245064	879.8462897	521.7206291	277.0475229	757.6880343	423.5092525	295.1006664	906.3719305	852.0133687	505.2893043
eco_gcs1_t08989	335.1875407	272.6158813	356.5622061	198.7457265	193.0199834	187.7457596	118.0780161	180.6830115	129.6407205	99.88963419	109.0337765	89.8347248	78.1228607	86.88646844	75.63672321	46.75443487	50.13814428	61.81295077
eco_gcs1_t04252	22.265659	35.97244297	30.01700604	23.24484112	38.49661423	30.89858915	30.85546675	25.71982953	25.64717719	26.25832221	23.57523992	30.74834198	30.8819201	29.06999801	31.5681514	44.13887144	37.7577857	43.54822868
eco_gcs1_t09659	2.311200465	5.987004682	2.449788351	2.424646011	3.112140554	5.908952198	3.377722377	2.328301184	4.374800361	3.270037556	3.213237028	3.505437393	3.330322317	5.324993709	4.873417259	8.070562679	3.403850972	5.23078016
eco_gcs1_t02256	36.74339786	26.61700133	48.33727089	36.34064854	32.92725445	36.56745462	34.63272519	32.81037115	36.73873495	36.69715628	33.53358585	35.02173327	37.07436685	32.60792765	39.73518397	30.46603369	31.12004931	38.66095061
eco_gcs1_t03460	60.85653616	44.26565807	74.24758687	54.24824776	56.85249134	60.15608485	43.61245011	45.88973376	63.44772939	34.38374117	35.34129609	44.58828904	30.35048087	25.57128121	36.58863603	22.54118306	22.06141932	24.48639216
eco_gcs1_t11294	23.37946772	25.57497487	26.28147686	13.07489935	16.29434807	12.70093871	11.95567455	10.94904481	11.96913908	13.69499704	10.43484228	18.54559841	9.626823139	15.98098871	14.98166257	16.41856077	13.0196214	16.52000952
eco_gcs1_t01467	513.7452642	747.0910971	377.7813844	634.1189261	747.1432844	369.091507	655.8015672	1078.127646	491.8595155	557.4508951	1015.257327	510.708213	665.6613584	769.4400667	474.6109299	226.6557255	462.2223728	275.0457684
eco_gcs1_t06564	6.622477098	7.806156595	8.512965482	5.064465386	7.259603995	5.612090233	4.98637478	5.330800308	6.501140403	5.180771893	4.121679321	6.177665753	4.263551373	4.854719637	4.899850624	7.044187925	6.350331919	5.655709645
eco_gcs1_t09700	3.254963564	14.41505937	23.41870665	14.86465654	11.32066652	19.15551691	8.044652743	5.470813002	10.1761937	9.890945222	49.33660639	10.41341263	5.349564242	11.51818642	10.27049911	11.95399101	11.22599309	8.284815906
