	c10	c10	c10	c20	c20	c20	c30	c30	c30	c40	c40	c40	c50	c50	c50	c90	c90	c90
eco_gcs1_t04004	3.421659055	3.275174054	2.45981837	2.548158647	3.255200106	3.380017192	3.162505208	3.157498018	3.426872863	3.433346797	2.577533862	3.737319848	2.482166438	3.0624161	3.382930624	3.684256196	2.988973769	7.162478245
eco_gcs1_t03670	5.230347254	7.907242554	6.534711455	7.827674611	9.031616779	4.138998993	7.335662763	4.503242013	6.014163341	9.612131043	8.22026605	9.273170531	8.446248164	4.068459553	4.207506432	12.60477252	6.911055685	9.506699874
eco_gcs1_t05705	33.51754841	30.73090375	31.15087381	27.41618052	35.38000597	34.55889351	33.74811393	39.01274779	41.97576046	26.7897041	35.91783192	36.67598956	25.96270855	37.3803371	30.42284303	19.60469941	41.56906381	19.3980353
eco_gcs1_t02177	1122.123238	446.4849986	882.2209228	671.9638875	405.8101737	743.3192781	351.7424939	769.5688039	706.4424111	346.9608095	693.7821433	430.4682011	307.6089527	977.4106614	807.2171666	173.4303582	798.7521167	779.8271621
eco_gcs1_t03658	2.6960008	2.66263154	3.875773514	3.183470937	3.341033651	3.67645508	3.070486747	3.294498916	3.255909327	3.795135611	3.111411858	3.615342382	2.52900356	3.279269194	3.7111592	3.265173552	3.380926015	10.85605171
eco_gcs1_t07402	2.797110612	2.527722721	2.733299288	2.263907294	3.185996076	3.747436155	3.137202952	3.206209486	3.422873364	1.990287833	2.886091652	1.259075018	2.637279624	3.352076013	4.118362701	0.633336749	3.577847467	8.895702522
eco_gcs1_t11482	8.99641577	12.28607029	12.52585484	11.37549	4.778798053	4.905440483	5.794268761	4.464761595	4.70098755	9.064478836	6.147663072	20.92302257	8.181344757	3.557833469	5.105175938	33.2780071	7.104305674	12.15648452
eco_gcs1_t05351	211.6103495	421.6676533	175.5508995	321.3631876	401.5705472	199.290006	539.6675259	198.8630507	195.1927154	445.0056143	208.45548	193.5683152	553.5230036	197.7070908	203.3870035	410.0156814	215.1033991	282.1118568
eco_gcs1_t10210	24.20946544	79.93237243	31.51797194	26.15545872	66.3790804	20.97328184	47.19594813	26.40766301	28.35691404	57.60949202	34.45275837	42.40419831	49.99373105	59.95166493	20.85008144	40.9838483	30.12116348	15.66481998
eco_gcs1_t11261	2.572032291	4.29843542	4.553002695	2.521825785	3.256219196	3.846349033	3.161898986	3.268351798	4.080735048	5.310941082	2.625355096	6.529743055	2.74287377	3.3316592	3.839136435	4.375828803	2.176335389	9.706756297
eco_gcs1_t06014	14.93359212	19.71560136	14.26582689	17.05956096	23.25772409	11.87613533	17.83301814	14.96332655	13.13213644	15.25444776	12.1192156	17.85878448	17.69047367	15.68615515	9.503352727	18.68869462	12.06849086	8.809371822
eco_gcs1_t04766	8.571447217	11.74514801	13.19180581	7.14743559	8.624414393	8.686008956	8.699973336	7.224190686	9.068355689	9.70729274	9.263872876	13.26170355	8.692551671	8.828655759	8.660597022	13.10387074	8.774170625	10.1652523
eco_gcs1_t03334	29.03019208	24.67072531	30.39223329	28.10955211	22.54656127	25.44876479	26.10824534	26.38590738	27.92771885	22.67271669	29.04959283	31.01208356	23.06649463	33.77293467	20.13636721	27.45892634	31.24981018	12.75510951
eco_gcs1_t01322	12.87706177	12.17327243	13.80002678	15.03788564	7.745806813	9.649890758	10.189599	12.08838668	15.76622617	12.41672548	8.41879621	24.42821976	8.453884602	10.12147031	8.87470311	44.3078395	10.93224019	15.46104082
eco_gcs1_t08621	2534.974757	3541.618635	2156.94139	2930.024665	4173.873181	3550.606181	3868.096807	2759.719357	3116.351831	3432.628325	3294.569232	1251.250842	3897.262453	2817.408712	2255.262409	2274.316678	2615.133754	3058.959418
eco_gcs1_t03728	44.91495783	280.0111403	49.86037218	94.8065271	320.6395163	43.77593486	161.5649547	50.62500972	45.46900141	136.9442913	45.24682863	28.24767238	141.4551059	73.32373551	42.78189176	70.38330962	65.17646246	27.48337327
eco_gcs1_t05055	2.708000451	3.400782234	2.543633052	3.204402941	4.37893153	3.714741909	3.966062538	3.347710974	3.440655839	3.668769579	5.219255683	2.847130056	3.17357756	3.424148273	4.065933999	3.131963084	4.428589016	12.18669955
eco_gcs1_t07238	15.05793323	19.65662943	16.68398602	15.52787417	15.32657629	14.91318626	17.46585416	23.26102888	18.20061799	20.5282248	20.19584119	36.26353688	13.69848526	13.54584686	17.79872244	23.53262609	14.17785599	10.9366904
eco_gcs1_t02533	12.4344826	7.025187275	8.251786707	11.02719729	6.834312428	4.311116307	6.101342743	9.49454239	7.922093201	7.413488024	16.41491567	15.7088572	8.272724	9.810455825	10.04980313	13.98927435	12.56502021	12.84525575
eco_gcs1_t05046	34.09769349	58.08678568	28.13983187	37.28854221	66.17923653	26.11502187	51.0421084	47.17346185	25.43134354	57.74312948	44.53337725	19.61197528	56.38722014	32.83512545	17.38502543	34.96207806	60.43105578	11.98180952
eco_gcs1_t02620	2.925327587	2.266505247	2.329448498	2.447904281	3.019485821	3.832276324	3.404024029	3.366591236	3.487805094	2.105831233	2.731099845	1.732756791	3.488742367	3.481567297	4.298118315	3.48145847	2.338533685	13.03061519
eco_gcs1_t06729	10033.97442	10131.66156	12948.1347	10566.07632	12102.97227	14246.96973	11560.68273	12218.02557	12749.84254	10561.0958	11691.85349	10738.0042	11685.24358	14090.02261	14331.99117	6815.012574	12756.76018	14811.17213
eco_gcs1_t02230	21.93024325	12.96184581	10.37007825	23.71950065	13.33513216	14.9577865	23.15296814	13.85952653	16.98121603	25.33436002	20.47681466	17.92904815	22.48741179	11.99556666	21.89270794	26.38433612	18.01554376	10.60537202
eco_gcs1_t00271	6349.781218	3447.088834	2742.241679	4915.842293	3758.367742	3215.618216	5629.14942	2559.224026	3823.321099	4994.727179	3008.419088	3232.739954	4820.961301	3461.769608	3795.570127	2057.535067	2455.700066	3897.60254
eco_gcs1_t08989	518.0758713	872.2791094	875.5941086	441.4176014	842.8097175	793.6322367	576.8965366	642.2504792	850.1806415	496.6283661	589.6215666	546.8338534	635.4188804	665.0725543	638.4816316	354.3149107	614.9690533	537.5059661
eco_gcs1_t04252	25.52556212	19.66428416	27.1599749	19.74022624	15.81875028	16.98256508	14.67005294	29.99439968	18.59600966	21.86113904	29.33285748	19.43390884	17.92927965	26.96907972	25.3476028	18.87694411	27.22568579	6.536191687
eco_gcs1_t09659	2.66144984	3.229654987	2.950057595	2.416764165	2.84100254	3.546634189	3.436400336	3.097127571	3.703005676	4.21023327	3.387491604	8.310464915	3.09656265	3.280974697	3.801286053	10.75910196	2.285166905	8.27364493
eco_gcs1_t02256	48.00294336	36.58176853	32.15420961	60.9013444	38.01925376	34.17523348	68.88121286	31.87002212	37.28808741	54.76104436	28.56142004	41.90018799	55.30631127	27.81118465	42.04271172	68.84183324	30.663568	38.65845606
eco_gcs1_t03460	103.4086878	54.37081193	70.57417275	102.2289854	43.73360308	62.09701275	89.04489521	52.27841193	49.64984561	100.3071715	56.50147818	51.41131448	91.25447004	54.57773412	90.69104778	83.26254746	63.50737356	118.2766611
eco_gcs1_t11294	34.31348464	41.8704641	45.81540591	39.29531136	43.08949458	44.0049368	45.69744495	57.78533539	51.03864228	45.60130868	52.78059883	31.77716366	46.45216698	56.85924222	48.39093572	25.30496159	57.81387601	24.66176661
eco_gcs1_t01467	692.673354	854.06582	605.6036088	624.2387207	688.4627332	500.4624681	857.9704523	318.7409499	786.7445606	716.5747731	253.3566716	741.4572294	777.6107389	261.4274809	877.4947594	349.1480632	187.2080617	326.8798545
eco_gcs1_t06564	5.659203746	7.457954632	9.578854865	8.190882766	5.309901896	6.684662309	6.858438538	9.40576342	8.327814187	7.212438513	7.545627569	13.18176229	8.512828073	5.650577633	8.415657983	10.39821843	12.01892572	9.038242735
eco_gcs1_t09700	4.448688994	6.889803322	9.568139244	6.857410976	3.43852769	88.36811762	3.481073097	4.419631956	6.257873268	7.966674717	6.219434255	28.22323491	6.80930643	7.211150727	5.339557223	20.50442803	56.34324929	14.13862157
eco_gcs1_t07854	6.199048931	9.384118175	6.689970876	3.105760263	3.087502843	3.545175034	3.393255503	3.685029208	3.314090172	7.944418977	4.245714637	3.220949827	3.380073585	3.160918081	3.546620152	9.888432348	5.12740514	7.9317641
eco_gcs1_t08519	18.56032719	14.39703571	16.16670941	18.25431848	12.17877588	20.06661562	17.15748493	16.0268403	10.01242387	19.93791545	14.23912365	13.60516452	14.81993415	16.4569716	14.67749223	12.77515739	15.39551264	13.11697714
eco_gcs1_t11096	6.250537311	6.626774472	6.092413377	5.161780585	4.774164087	4.687319982	4.650748124	3.743335069	4.690154278	6.270244735	3.092643802	11.58314852	4.544000861	4.393481119	3.782943545	15.96525955	4.427940247	6.517909102
eco_gcs1_t10722	78.04657851	40.871363	81.89829046	56.03336574	29.17931332	66.3223227	42.87665007	68.16473992	68.43821343	54.28180116	72.1082594	47.90985279	50.06453779	65.53890247	69.26455411	38.71140844	61.7468251	41.15488654
eco_gcs1_t05243	148.0513459	75.56278843	149.3149239	154.3843828	83.77357125	200.4239118	125.9399606	143.401087	141.2756281	109.9984842	138.685941	135.3584509	116.3532666	133.3043696	190.6469996	138.9764099	121.924418	191.4386985
eco_gcs1_t07367	3.626019224	3.710812665	3.425782339	4.133915591	2.936035428	3.596107767	3.061521786	3.144427455	3.222037082	3.196737118	2.718981045	3.982142618	2.936858068	3.199839002	3.771610439	4.483859304	3.132250428	8.949164738
eco_gcs1_t07577	20.487475	23.84695323	20.99224789	20.40087402	20.33790162	14.87918749	19.19629556	23.3264477	12.20947057	22.5317128	20.75716904	20.96896087	15.17123199	18.33415172	12.66163457	18.9426839	16.6933756	9.660037595
eco_gcs1_t06552	13.09600573	13.57456808	16.09020468	11.04386702	13.68691698	13.05624196	8.785239531	19.60552079	14.86624209	13.30850051	18.42169238	8.20905953	9.695419512	19.7828275	25.97774683	7.339991038	16.4540839	13.49292221
eco_gcs1_t06368	7.638586917	3.124387265	2.690920362	3.987075246	4.433405861	7.066218344	4.008941548	5.881373583	4.21597907	5.842247257	4.389608227	6.394250729	5.513838638	4.434054339	5.1990286	3.477208067	7.251818929	12.37623492
eco_gcs1_t02398	265.2525653	125.0054767	184.636127	231.4195704	133.9162425	243.7890557	223.2744665	228.1848472	238.7119694	181.1029483	216.2920246	204.7647569	225.7776306	195.6783328	238.727032	161.0986129	204.9796079	238.7307701
eco_gcs1_t01498	133.7413903	108.1519977	104.3671008	106.6105433	85.46249958	93.98686261	87.8263944	124.7634128	101.9331803	90.85326661	101.6034667	95.53602914	78.7084778	114.6302197	121.9565449	84.03799217	82.49927745	81.18071613
eco_gcs1_t08320	4.285392661	8.874189651	7.002442979	6.847350512	5.60173715	3.5210725	5.31915817	4.559357837	3.988721167	9.892275645	5.652276682	17.40436272	5.887518314	3.747813091	3.553692413	18.75038671	3.28066712	6.39400827
