	t10	t10	t10	t20	t20	t20	t30	t30	t30	t40	t40	t40	t50	t50	t50	t90	t90	t90
eco_gcs1_t01986	40.71873524	60.72568106	56.89378012	49.46744044	66.505093	60.47112672	62.09098679	56.83988163	69.34292434	69.81280746	51.42437484	71.67360076	87.71071039	21.8075978	67.73429005	111.5500934	51.44709034	68.38043522
eco_gcs1_t06305	58.00174491	65.93896513	81.6051991	57.09310268	65.7914516	63.42484044	57.69859784	73.13749371	77.42996513	52.80862493	69.75925917	79.31214141	53.06326695	164.3684984	79.73832737	75.24565856	66.71010854	58.4140536
eco_gcs1_t07143	64.52491517	64.02165907	94.99731998	96.9567556	108.9812319	112.3537807	145.3065533	138.1236375	161.1164187	171.3657857	120.8497615	201.2125258	202.5614719	77.29153135	221.0175099	218.4069469	159.0272265	196.1257674
eco_gcs1_t03742	86.4325841	90.19948322	70.10726302	77.42294839	68.63951509	68.71641405	73.51804459	73.72010847	88.96237065	66.40789975	95.55683945	91.9353781	104.2121859	76.12094363	87.80507646	118.2266768	84.64548645	101.9129219
eco_gcs1_t05819	314.9699328	343.7911239	261.3298522	281.0325829	358.8836567	288.8375428	334.8848368	305.3414968	338.3610666	241.182897	263.7004099	338.7963504	361.7330443	202.5210997	297.8024636	413.8774079	282.7952795	232.9814322
eco_gcs1_t04004	55.29150734	61.59020738	65.69727111	71.93270621	55.78547351	41.20245143	78.05406268	72.49197579	78.61053345	43.44621937	88.65753096	87.09477756	79.47268197	2.108813279	75.55190774	80.35421937	77.99674628	68.41624778
eco_gcs1_t03670	21.22043252	10.52816561	13.7306033	15.39799091	13.96563946	19.09759285	12.20772704	13.23373878	13.72991631	21.5767631	13.00692402	12.53237071	15.14590211	13.26294771	14.96385448	16.74205744	12.41899596	19.31003191
eco_gcs1_t05705	18.56266424	22.03666118	22.13943972	26.38703928	17.67793636	19.63032346	19.80283393	18.86015001	18.60150942	24.22908932	17.78056094	20.39588784	23.98799587	37.10037844	18.60724897	22.09701271	21.01682996	20.58580286
eco_gcs1_t02177	724.0899163	487.8748658	416.8621132	435.1068471	633.1923698	447.7059491	595.1342909	447.9660922	553.745438	665.3767396	532.5384655	586.7159837	727.3328172	1051.78183	560.2647674	1329.734055	575.4158876	677.2820263
eco_gcs1_t03658	8.88141934	8.35846376	13.70200458	11.81630994	15.33588937	11.71539482	16.25754689	22.04898384	27.18417375	18.11350971	27.44260912	26.76460913	22.69488346	3.334540194	25.8528187	31.67943252	38.09372956	35.79709537
eco_gcs1_t07402	0.920143169	1.377010562	1.431841534	0.495543218	0.771036137	0.561251275	0.60312789	1.246074503	1.592884045	0.402131788	0.937604317	1.688379262	1.043317989	2.486516875	0.759935258	2.219321027	1.337405615	0.514828205
eco_gcs1_t11482	21.28908245	24.2648447	30.40956916	46.64653104	38.48913801	43.74261993	38.76713878	32.30872135	30.77022344	67.18690947	33.60891493	36.56491706	35.74773004	29.21580944	34.60091802	51.51282323	40.49493272	45.29119662
eco_gcs1_t05351	421.136621	428.9503345	436.2764909	460.32684	537.2801841	422.1883372	507.8019491	495.3023497	540.1621232	484.1493535	531.7881552	508.1049125	656.4537926	254.7559183	519.1278988	835.4164053	428.933742	462.2793252
eco_gcs1_t10210	19.21779148	46.77364238	32.3129622	34.15128573	37.75032066	37.27389682	40.15975594	50.37686196	31.88146166	27.78396614	41.34070556	22.39326556	22.08459656	64.78613647	20.67335431	16.29696679	65.78282124	26.01938567
eco_gcs1_t11261	2.819886993	4.604904723	3.539597431	6.486922338	5.972996285	1.77143314	7.170407731	9.314499561	5.998846757	8.684495471	9.277610404	7.905200804	2.846979005	2.699232074	8.426753417	5.438725229	10.16842557	10.13067852
eco_gcs1_t06014	19.65089137	27.40949638	30.89187836	24.32462384	19.84665307	29.20607648	26.1930186	24.75729293	31.93815344	30.61157716	30.82877432	33.55686144	25.60406934	27.42816337	32.12963735	33.39355438	32.17105738	31.84471387
eco_gcs1_t04766	11.2200024	15.74525051	11.70567491	16.95309976	19.1226585	13.13669528	22.85814323	16.80407355	16.9750031	25.5818699	15.85799732	16.51221725	20.09188426	4.524235337	16.17901216	19.65759286	27.01445392	18.52590212
eco_gcs1_t03334	6.665260728	7.971446983	8.591376866	9.582772566	8.887197287	11.08896036	7.364742075	8.040599721	6.45832414	20.88695151	8.17664497	7.751745611	10.92502679	16.47588851	8.67045832	8.434551693	3.143050663	9.732734431
eco_gcs1_t01322	67.60980525	81.1700125	65.07306384	84.34069155	66.49013179	63.20573785	55.20778013	50.86898328	54.08435242	89.47004598	48.74420624	47.15060841	43.10581537	36.51616087	45.86443665	58.2202427	43.35496066	51.33366017
eco_gcs1_t08621	887.1938761	675.269236	557.8059193	435.4487473	430.0988505	344.2961558	431.980694	454.5406788	455.6395542	350.5347788	434.5147991	431.1512077	430.2424673	1944.086554	405.1158112	575.5481373	403.2276101	318.5406312
eco_gcs1_t03728	36.81520989	25.00416994	28.80902643	19.30061942	28.61947513	26.50271438	19.12100947	28.33544811	32.36898636	15.37093825	21.77221967	28.56999955	25.08387491	87.2114998	25.36150251	40.03038821	19.9738257	21.12464208
eco_gcs1_t05055	15.44519184	13.8863224	10.52987644	10.91771084	11.88681457	15.8125048	11.48919613	13.26659363	15.1252009	8.343113597	21.18639022	10.80530227	12.89616243	2.890763904	16.91108832	14.04077971	15.41636331	16.17821626
eco_gcs1_t07238	17.39373114	17.95160386	17.38616472	15.30215363	14.46816116	31.95895405	19.99513528	11.82664448	11.44037096	17.65200022	16.15686248	12.8119139	14.18159897	24.68582304	15.6224332	28.13106853	15.33753966	30.81034317
eco_gcs1_t02533	45.42327913	38.61535487	39.6405582	36.59428326	26.0640065	25.73162039	30.6701823	29.41631697	23.74878778	37.841336	30.6309008	32.85992642	36.71069808	11.44401563	29.36140169	35.76134178	30.90989769	37.80372626
eco_gcs1_t05046	67.7135762	99.95238509	85.04142046	61.28018576	60.59159458	77.2840283	63.04341525	78.26335745	96.20130865	47.92053676	99.95002482	87.85351633	91.53144659	64.03031565	90.97449544	97.83183103	91.04539519	73.42074795
eco_gcs1_t02620	5.289499777	6.794581146	6.274534757	9.133720544	5.193731144	2.110099775	6.893914544	13.40271765	13.17792092	14.97935907	20.20604303	16.37621227	15.88154694	2.770814956	21.37735461	27.2106792	16.18782372	21.99208845
eco_gcs1_t06729	2803.842469	2971.91512	2401.300706	1800.75254	2198.926563	2050.974803	2107.545905	2467.934016	2748.565077	2065.748328	2970.444155	2695.747399	2818.345931	19388.0846	2841.460448	3525.932312	2206.145734	2825.10014
eco_gcs1_t02230	45.46932744	35.66872312	53.10973366	39.47899349	39.36754129	41.92725423	33.26839211	40.61290915	46.68985927	44.33579276	49.24266331	48.97405678	41.13043878	22.82071253	42.90402901	53.17564386	50.54766061	55.758748
eco_gcs1_t00271	3833.042912	3202.249172	2493.404843	5162.415266	2980.434208	2009.029824	17782.60126	3048.166734	4363.580807	14861.66617	2435.232554	4654.360521	20971.42457	2163.414246	4256.309457	9054.541232	8900.608575	2573.59565
eco_gcs1_t08989	58.59054658	44.75680904	71.40916689	79.62939298	70.20577757	156.5680821	137.2492526	173.6638621	224.7329074	135.6267499	153.5821473	260.1464706	168.4906195	361.7168374	244.3760646	184.8073652	154.9908157	181.1287665
eco_gcs1_t04252	25.38998154	18.41158012	18.76055829	26.29411709	27.38149439	31.04558196	32.2307841	21.36046633	21.07818342	51.56254806	27.77270279	25.48667344	44.83180234	32.61380939	31.55844963	48.09582793	37.15600021	39.75142695
eco_gcs1_t09659	3.854481538	3.622263321	4.337026331	16.50082383	5.001171246	5.414040808	3.828956465	3.237114656	4.811315469	14.70369087	2.5861755	3.349853824	5.951987454	14.7382449	7.338551795	3.474544552	5.990257535	5.261330482
eco_gcs1_t02256	67.68467317	53.68014844	67.20772779	104.6484216	65.99221249	64.48505865	100.5384825	89.37067563	111.1207493	84.1742433	86.14134605	120.3407872	121.5839147	22.59205326	126.6826094	117.9242536	90.60158719	97.86372847
eco_gcs1_t03460	33.61082317	33.85576529	37.76747503	29.9612567	30.51077654	24.58613996	35.45400723	32.33949961	37.48009327	36.72173501	37.70582883	35.2955541	44.05093631	36.91760554	31.07000494	48.96929387	39.58953191	34.24343581
eco_gcs1_t11294	32.55468647	32.31374863	38.4672383	25.35118328	27.14410863	22.9052784	25.46065511	35.15275816	36.82315769	19.07488234	33.77491914	28.59777514	28.4652205	28.18010602	27.21798051	25.33348248	25.76301953	24.06858569
eco_gcs1_t01467	487.537488	621.0203071	1154.421999	896.6672228	955.9022802	2021.078572	1793.447766	1734.232818	4125.700725	1878.041487	1929.880325	4265.173238	3075.203279	309.0076899	3981.274523	4520.182751	4219.730931	5625.144584
eco_gcs1_t06564	21.23963572	22.35156438	19.24854015	18.86426257	14.27544852	24.33836806	18.86795028	17.81981257	17.46596221	22.55802226	20.486408	15.88583318	18.36429078	11.68656095	19.70285134	22.8260245	19.92583385	21.52141565
eco_gcs1_t09700	53.74418505	47.70786951	43.43014361	52.75912608	49.20148367	49.43648795	52.74362431	45.25647699	38.05108381	49.93839402	51.25507216	38.66548828	44.56219025	24.53008697	47.99118503	40.91721208	37.02911628	48.21210964
eco_gcs1_t07854	4.484706646	8.288626338	4.776950836	25.9013148	16.30852855	1.676479518	12.62050373	12.00384189	5.411021355	23.40454241	9.795046082	4.173473289	5.452121525	4.145633078	6.13852946	3.682812243	19.04703141	0.624171406
eco_gcs1_t08519	41.25704211	43.3199865	51.2238493	51.85625187	57.79442185	50.55024289	65.12667537	68.67525385	72.9958585	52.23627447	61.90560827	86.96753344	89.13355029	4.78200475	80.59564857	88.86774178	69.69950027	72.59903701
eco_gcs1_t11096	18.207666	18.28003229	21.28778426	27.02697704	18.37443263	29.40067109	21.62131902	15.13699835	11.4269957	26.03317143	14.30513986	14.2948181	15.37512452	12.95513694	12.91610076	11.93274353	15.20849893	20.15097995
