	t10	t10	t10	t20	t20	t20	t30	t30	t30	t40	t40	t40	t90	t90	t90
eco_gcs1_t02230	105.7273833	110.4898641	114.1004714	79.36506802	123.9846299	93.51050815	44.32166704	110.7802521	53.84639089	84.84628025	117.3824478	55.03689556	60.45173366	90.73444946	74.63883596
eco_gcs1_t00271	1456.554335	787.4787469	1647.749885	2249.419763	2773.973365	16351.80352	1324.821357	464.1738053	11683.13059	1902.65705	531.4863647	1298.302367	1599.294854	1000.613013	3826.596361
eco_gcs1_t08989	225.6652284	206.5081105	357.2714913	189.4449313	148.6974176	281.3395535	246.4840525	287.4725974	226.5326843	311.7088441	220.041368	300.2369676	170.8531885	144.9106377	216.0721832
eco_gcs1_t04252	63.11733592	190.1638853	178.6013645	79.53737484	118.0575841	99.95599159	175.0072915	195.019257	57.00715083	81.490283	177.9428724	180.5709355	160.9511572	161.3711003	129.0270253
eco_gcs1_t09659	43.51553648	217.4916934	269.5735743	29.7125874	121.4838979	62.57666376	30.92216756	237.601718	19.27346069	28.80957023	272.9689827	255.6676581	18.46791122	144.7879557	152.09578
eco_gcs1_t02256	66.33948674	56.63642236	105.6519732	54.12660036	116.5776947	174.1313806	44.34518028	81.00734389	276.8527091	58.93050039	63.40995308	56.04757873	29.36594802	29.92229825	53.50228615
eco_gcs1_t03460	61.39385881	14.43063847	9.971567465	69.80713505	29.8302134	43.25986901	48.27365935	54.78260633	92.22499363	50.45905964	82.47060855	61.36420696	36.86174828	30.58901183	21.90252684
eco_gcs1_t11294	70.96757903	50.12707698	97.02380976	38.78817844	30.78468273	28.12692856	13.90694457	106.3062002	36.07926496	56.02594705	112.7975903	126.3869046	100.8100517	45.10596216	86.82943086
eco_gcs1_t01467	1355.11471	828.863789	751.0237409	3397.969588	3438.458194	8459.055731	13966.3869	1616.778536	10243.69035	7788.966575	1235.76664	757.6986355	680.0202809	419.3087331	470.0287885
eco_gcs1_t06564	21.0437093	110.2712525	166.9764145	21.42204009	93.24946184	48.31230265	83.34428997	218.3835429	21.20758734	23.87508716	176.29801	178.1157879	21.9506552	116.2730526	96.55730592
eco_gcs1_t09700	54.70826042	143.8366295	192.5703279	52.63608769	179.1214555	107.2614798	136.3718951	247.8280408	21.95070483	54.59120925	277.1013059	226.7094544	29.93653129	229.3586546	140.7254995
eco_gcs1_t07854	37.78047792	12.16102599	22.84573428	64.45793485	12.56469357	12.72568923	20.57568367	20.46239115	19.27231872	86.36723869	121.4826099	17.56823483	32.78433835	14.37713856	10.92069654
eco_gcs1_t08519	44.02006917	61.49353173	79.64326775	65.55803385	70.28559281	65.87555322	44.5093583	71.76482247	121.7705478	76.16614268	64.72885464	52.33608423	39.27655765	24.57783601	29.61941832
eco_gcs1_t11096	42.66489593	122.0325352	166.7146574	48.33202974	87.96159287	51.81892975	60.45511236	161.039195	20.4715327	44.12051669	152.7240842	171.9097558	27.97236957	86.14021113	84.42294612
eco_gcs1_t10722	43.97108813	158.4170642	210.3931871	130.9818602	191.1473424	155.1288497	69.93705195	190.137236	194.5976777	122.323302	113.5281515	227.7029533	125.2139199	187.8944194	218.879971
eco_gcs1_t05243	97.80583933	127.6274169	178.6531101	191.4467102	241.7890384	442.14439	150.8524459	174.5527718	264.4704162	115.8466912	117.5426601	138.9946445	94.17702572	137.4924597	158.5835791
eco_gcs1_t07367	22.19281609	29.87076493	28.38780619	16.54966333	18.29778516	13.28878479	21.33866084	40.20079502	19.23290919	20.69981118	9.766086065	36.52010793	19.85932323	12.49056307	11.48286661
eco_gcs1_t07577	81.98068837	115.0750483	246.2855731	114.5347924	120.9934984	78.27426839	144.0614276	275.9602488	60.03040313	137.206744	216.0889439	272.5000925	84.88511968	104.4348898	105.2260669
eco_gcs1_t06552	25.23481743	4.201895436	2.795437354	46.59768815	8.682777723	17.19445842	14.8594239	3.27480422	39.32863209	32.56028871	4.555837002	3.115853319	27.98022165	4.636441158	5.912587009
eco_gcs1_t06368	24.57430036	16.84713658	39.09260993	21.61630185	80.3203801	119.5459799	14.25528294	20.65379893	257.5202243	15.44508993	83.78106828	20.46307816	12.85011214	32.59340267	27.87070154
